,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α_μ,8.683,0.219,8.257,9.091,0.002,0.002,10083.0,2929.0,1.0
β_μ,0.012,0.0,0.012,0.013,0.0,0.0,9201.0,2976.0,1.0
α[0],6.289,0.04,6.217,6.362,0.0,0.0,8784.0,3056.0,1.0
α[1],8.399,0.06,8.286,8.507,0.001,0.001,6866.0,3279.0,1.0
α[2],5.917,0.032,5.857,5.979,0.0,0.0,10308.0,2843.0,1.0
α[3],8.963,0.097,8.782,9.142,0.001,0.001,9275.0,2737.0,1.0
α[4],8.171,0.073,8.033,8.304,0.001,0.001,9089.0,2993.0,1.0
α[5],8.875,0.033,8.812,8.938,0.0,0.0,7687.0,2810.0,1.0
α[6],8.859,0.037,8.788,8.926,0.0,0.0,7780.0,2844.0,1.0
α[7],8.432,0.071,8.299,8.564,0.001,0.001,8208.0,3125.0,1.0
α[8],10.068,0.037,9.993,10.134,0.0,0.0,8322.0,2783.0,1.0
α[9],7.133,0.051,7.041,7.232,0.001,0.0,8713.0,2495.0,1.0
α[10],11.883,0.099,11.695,12.071,0.001,0.001,7861.0,3061.0,1.0
α[11],6.841,0.048,6.743,6.925,0.001,0.0,9106.0,2796.0,1.0
α[12],10.292,0.036,10.224,10.36,0.0,0.0,8281.0,2780.0,1.0
α[13],10.501,0.083,10.348,10.662,0.001,0.001,9753.0,2628.0,1.0
α[14],9.397,0.099,9.221,9.588,0.001,0.001,8066.0,3150.0,1.0
α[15],6.889,0.084,6.734,7.055,0.001,0.001,7431.0,2933.0,1.0
α[16],6.784,0.048,6.698,6.877,0.001,0.0,8918.0,3018.0,1.0
α[17],5.611,0.039,5.538,5.683,0.0,0.0,8560.0,2742.0,1.0
α[18],8.03,0.05,7.94,8.127,0.001,0.0,8207.0,3071.0,1.0
α[19],8.403,0.029,8.35,8.456,0.0,0.0,7927.0,3210.0,1.0
α[20],9.009,0.068,8.881,9.134,0.001,0.001,7371.0,2108.0,1.0
α[21],9.509,0.053,9.4,9.599,0.001,0.0,7922.0,2923.0,1.0
α[22],9.188,0.082,9.037,9.34,0.001,0.001,8295.0,3182.0,1.0
α[23],6.26,0.042,6.178,6.334,0.0,0.0,8996.0,2864.0,1.0
α[24],7.832,0.024,7.788,7.878,0.0,0.0,7943.0,2965.0,1.0
α[25],11.385,0.033,11.321,11.446,0.0,0.0,9030.0,2973.0,1.0
α[26],11.223,0.028,11.17,11.275,0.0,0.0,8320.0,2697.0,1.0
α[27],7.011,0.035,6.943,7.077,0.0,0.0,7428.0,2722.0,1.0
α[28],6.703,0.055,6.599,6.809,0.001,0.0,7080.0,2941.0,1.0
α[29],10.999,0.125,10.772,11.234,0.001,0.001,9583.0,2644.0,1.0
α[30],9.147,0.062,9.025,9.256,0.001,0.0,8309.0,3100.0,1.0
α[31],11.249,0.02,11.213,11.288,0.0,0.0,8266.0,2827.0,1.0
α[32],8.532,0.101,8.353,8.727,0.001,0.001,7651.0,2862.0,1.0
α[33],9.093,0.034,9.03,9.157,0.0,0.0,7516.0,2462.0,1.0
α[34],9.322,0.045,9.241,9.409,0.001,0.0,7409.0,2937.0,1.0
α[35],11.46,0.032,11.4,11.52,0.0,0.0,10348.0,2111.0,1.0
α[36],8.837,0.033,8.775,8.899,0.0,0.0,7795.0,2627.0,1.0
α[37],5.16,0.074,5.023,5.299,0.001,0.001,6517.0,3137.0,1.0
α[38],8.812,0.087,8.663,8.984,0.001,0.001,7715.0,2614.0,1.0
α[39],5.527,0.052,5.434,5.63,0.001,0.0,8304.0,3321.0,1.0
α[40],6.186,0.054,6.085,6.288,0.001,0.0,8050.0,3011.0,1.0
α[41],5.975,0.056,5.87,6.082,0.001,0.0,10214.0,2626.0,1.0
α[42],7.684,0.026,7.637,7.732,0.0,0.0,8056.0,2866.0,1.0
α[43],7.691,0.038,7.618,7.761,0.0,0.0,9234.0,2504.0,1.0
α[44],5.481,0.029,5.422,5.532,0.0,0.0,7580.0,2856.0,1.0
α[45],10.189,0.094,10.008,10.356,0.001,0.001,8836.0,3272.0,1.0
α[46],8.046,0.059,7.927,8.148,0.001,0.0,8855.0,3081.0,1.0
α[47],8.079,0.071,7.943,8.21,0.001,0.001,8173.0,2751.0,1.0
α[48],9.743,0.034,9.679,9.807,0.0,0.0,9139.0,2671.0,1.0
α[49],7.062,0.046,6.973,7.147,0.001,0.0,7095.0,2807.0,1.0
α[50],8.302,0.02,8.263,8.338,0.0,0.0,9549.0,2950.0,1.0
α[51],10.271,0.08,10.115,10.418,0.001,0.001,6913.0,2696.0,1.0
α[52],8.843,0.063,8.725,8.967,0.001,0.0,9749.0,2755.0,1.0
α[53],10.645,0.098,10.471,10.838,0.001,0.001,7971.0,3302.0,1.0
α[54],9.177,0.067,9.05,9.305,0.001,0.001,8583.0,2563.0,1.01
α[55],8.693,0.048,8.604,8.783,0.0,0.0,9239.0,2750.0,1.0
α[56],9.413,0.031,9.357,9.474,0.0,0.0,8113.0,3015.0,1.0
α[57],9.727,0.088,9.565,9.89,0.001,0.001,9368.0,3180.0,1.0
α[58],8.901,0.047,8.809,8.985,0.0,0.0,11012.0,2975.0,1.0
α[59],11.328,0.091,11.155,11.495,0.001,0.001,8740.0,2818.0,1.0
α[60],10.45,0.094,10.274,10.63,0.001,0.001,7421.0,2304.0,1.0
