,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α_μ,8.722,0.208,8.328,9.119,0.002,0.002,7352.0,2694.0,1.0
β_μ,0.012,0.0,0.011,0.013,0.0,0.0,8538.0,2508.0,1.0
α[0],6.288,0.042,6.208,6.363,0.0,0.0,7360.0,2737.0,1.0
α[1],8.398,0.06,8.288,8.512,0.001,0.0,7922.0,2923.0,1.0
α[2],5.971,0.03,5.916,6.029,0.0,0.0,8198.0,2439.0,1.0
α[3],8.959,0.097,8.781,9.141,0.001,0.001,8740.0,2833.0,1.0
α[4],8.171,0.071,8.039,8.308,0.001,0.001,7153.0,3195.0,1.0
α[5],8.877,0.033,8.817,8.941,0.0,0.0,7079.0,2377.0,1.0
α[6],8.86,0.039,8.789,8.934,0.0,0.0,8254.0,2974.0,1.0
α[7],8.471,0.069,8.35,8.61,0.001,0.001,8861.0,2563.0,1.0
α[8],10.07,0.038,9.998,10.143,0.0,0.0,6916.0,2926.0,1.0
α[9],7.134,0.049,7.04,7.222,0.0,0.0,10235.0,2980.0,1.0
α[10],11.883,0.101,11.692,12.077,0.001,0.001,7855.0,2755.0,1.0
α[11],6.841,0.048,6.752,6.933,0.001,0.0,7742.0,3105.0,1.0
α[12],10.284,0.037,10.213,10.351,0.0,0.0,8648.0,3093.0,1.0
α[13],10.501,0.084,10.33,10.644,0.001,0.001,8394.0,2626.0,1.0
α[14],11.303,0.001,11.301,11.305,0.0,0.0,8703.0,2925.0,1.0
α[15],9.395,0.098,9.217,9.583,0.001,0.001,8830.0,3305.0,1.0
α[16],6.888,0.083,6.736,7.037,0.001,0.001,7403.0,3147.0,1.0
α[17],6.783,0.048,6.697,6.874,0.001,0.0,8047.0,2928.0,1.0
α[18],5.609,0.039,5.535,5.682,0.0,0.0,7527.0,3100.0,1.0
α[19],8.031,0.051,7.933,8.126,0.001,0.0,7096.0,2507.0,1.0
α[20],8.405,0.03,8.351,8.462,0.0,0.0,7508.0,3052.0,1.0
α[21],9.009,0.068,8.868,9.123,0.001,0.001,7933.0,3108.0,1.0
α[22],9.746,0.053,9.643,9.841,0.001,0.0,7400.0,2224.0,1.0
α[23],9.191,0.081,9.042,9.345,0.001,0.001,7923.0,2944.0,1.0
α[24],6.261,0.041,6.188,6.343,0.001,0.0,6584.0,2726.0,1.0
α[25],7.831,0.024,7.786,7.875,0.0,0.0,9304.0,3179.0,1.0
α[26],11.197,0.033,11.134,11.259,0.0,0.0,8921.0,3024.0,1.0
α[27],11.222,0.028,11.168,11.271,0.0,0.0,9140.0,3074.0,1.0
α[28],7.012,0.035,6.944,7.077,0.0,0.0,8868.0,2654.0,1.01
α[29],6.703,0.056,6.597,6.806,0.001,0.0,7382.0,2841.0,1.0
α[30],10.998,0.117,10.785,11.226,0.001,0.001,7989.0,3025.0,1.0
α[31],9.146,0.061,9.029,9.262,0.001,0.0,9480.0,2854.0,1.0
α[32],11.249,0.02,11.208,11.285,0.0,0.0,8445.0,2812.0,1.0
α[33],8.53,0.102,8.348,8.725,0.001,0.001,9729.0,3248.0,1.0
