,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α[0],6.286,0.039,6.21,6.357,0.0,0.0,7585.0,2807.0,1.0
α[1],8.401,0.061,8.285,8.513,0.001,0.0,7879.0,2993.0,1.0
α[2],5.916,0.032,5.856,5.974,0.0,0.0,7836.0,3077.0,1.0
α[3],8.947,0.101,8.75,9.126,0.001,0.001,8450.0,2919.0,1.0
α[4],8.17,0.073,8.034,8.311,0.001,0.001,7590.0,2551.0,1.0
α[5],8.878,0.033,8.813,8.938,0.0,0.0,6975.0,2988.0,1.0
α[6],8.86,0.039,8.785,8.934,0.0,0.0,8122.0,2550.0,1.0
α[7],8.436,0.075,8.299,8.578,0.001,0.001,8796.0,2515.0,1.0
α[8],10.07,0.038,9.998,10.141,0.0,0.0,7787.0,2872.0,1.0
α[9],7.132,0.051,7.04,7.228,0.001,0.0,8055.0,3060.0,1.0
α[10],11.887,0.1,11.704,12.082,0.001,0.001,7219.0,2734.0,1.0
α[11],6.837,0.048,6.749,6.93,0.001,0.0,8341.0,2600.0,1.0
α[12],10.294,0.037,10.225,10.365,0.0,0.0,8936.0,2840.0,1.0
α[13],10.507,0.084,10.347,10.661,0.001,0.001,9176.0,2808.0,1.0
α[14],9.389,0.101,9.203,9.579,0.001,0.001,7991.0,2543.0,1.0
α[15],6.876,0.085,6.708,7.033,0.001,0.001,7423.0,2894.0,1.0
α[16],6.78,0.048,6.688,6.869,0.001,0.0,7734.0,3051.0,1.0
α[17],5.609,0.039,5.537,5.682,0.0,0.0,8431.0,2717.0,1.0
α[18],8.026,0.051,7.925,8.116,0.001,0.0,9492.0,2820.0,1.0
α[19],8.402,0.029,8.347,8.456,0.0,0.0,8324.0,2686.0,1.0
α[20],9.012,0.066,8.892,9.136,0.001,0.001,7909.0,2955.0,1.0
α[21],9.512,0.052,9.415,9.609,0.001,0.0,7773.0,3395.0,1.0
α[22],9.196,0.08,9.057,9.356,0.001,0.001,9504.0,3187.0,1.0
α[23],6.258,0.041,6.183,6.336,0.0,0.0,10079.0,3250.0,1.0
α[24],7.833,0.025,7.786,7.879,0.0,0.0,9398.0,3205.0,1.0
α[25],11.387,0.032,11.325,11.449,0.0,0.0,7572.0,3244.0,1.0
α[26],11.223,0.028,11.169,11.274,0.0,0.0,8610.0,2728.0,1.0
α[27],7.01,0.035,6.946,7.076,0.0,0.0,7010.0,2979.0,1.0
α[28],6.697,0.057,6.593,6.807,0.001,0.0,8745.0,3267.0,1.0
α[29],10.99,0.118,10.765,11.199,0.001,0.001,8157.0,2948.0,1.0
α[30],9.144,0.062,9.028,9.259,0.001,0.0,8201.0,2915.0,1.0
α[31],11.249,0.021,11.212,11.289,0.0,0.0,8285.0,2835.0,1.0
α[32],8.521,0.101,8.327,8.711,0.001,0.001,8065.0,2873.0,1.0
α[33],9.094,0.034,9.026,9.155,0.0,0.0,8893.0,3004.0,1.0
α[34],9.322,0.048,9.232,9.41,0.0,0.0,9099.0,2850.0,1.0
α[35],11.461,0.032,11.403,11.524,0.0,0.0,8417.0,2940.0,1.0
α[36],8.837,0.032,8.778,8.901,0.0,0.0,8817.0,3092.0,1.0
α[37],5.137,0.073,5.004,5.278,0.001,0.001,8581.0,2994.0,1.0
α[38],8.815,0.089,8.647,8.983,0.001,0.001,7511.0,2795.0,1.0
α[39],5.523,0.051,5.427,5.618,0.001,0.0,9572.0,3119.0,1.0
α[40],6.178,0.053,6.076,6.274,0.001,0.0,8058.0,3123.0,1.0
α[41],5.968,0.059,5.857,6.081,0.001,0.0,8649.0,3011.0,1.0
α[42],7.684,0.025,7.635,7.73,0.0,0.0,8622.0,3094.0,1.0
α[43],7.69,0.039,7.613,7.761,0.0,0.0,8029.0,2812.0,1.0
α[44],5.48,0.031,5.423,5.538,0.0,0.0,10148.0,2974.0,1.0
α[45],10.191,0.095,10.018,10.376,0.001,0.001,9478.0,3010.0,1.0
α[46],8.046,0.059,7.939,8.165,0.001,0.0,7357.0,2873.0,1.0
α[47],8.072,0.075,7.931,8.213,0.001,0.001,8165.0,2697.0,1.0
α[48],9.744,0.033,9.685,9.808,0.0,0.0,7197.0,3002.0,1.0
α[49],7.059,0.046,6.973,7.147,0.001,0.0,7179.0,2925.0,1.0
α[50],8.302,0.02,8.265,8.339,0.0,0.0,7700.0,2813.0,1.0
α[51],10.276,0.08,10.132,10.432,0.001,0.001,7834.0,2939.0,1.0
α[52],8.844,0.063,8.718,8.952,0.001,0.0,8311.0,2809.0,1.0
α[53],10.651,0.098,10.477,10.845,0.001,0.001,7989.0,3168.0,1.0
α[54],9.177,0.071,9.039,9.302,0.001,0.001,8931.0,2986.0,1.0
α[55],8.691,0.049,8.599,8.784,0.001,0.0,9370.0,2118.0,1.0
α[56],9.413,0.032,9.352,9.471,0.0,0.0,8137.0,3178.0,1.0
α[57],9.738,0.091,9.573,9.913,0.001,0.001,7441.0,2661.0,1.0
α[58],8.9,0.047,8.821,8.993,0.0,0.0,8799.0,3107.0,1.0
α[59],11.336,0.092,11.158,11.505,0.001,0.001,7873.0,2898.0,1.0
α[60],10.466,0.095,10.297,10.653,0.001,0.001,8619.0,2884.0,1.0
α[61],8.084,0.044,8.0,8.164,0.0,0.0,8749.0,3165.0,1.0
α[62],9.611,0.071,9.485,9.754,0.001,0.001,8065.0,2821.0,1.0
α[63],5.996,0.06,5.885,6.109,0.001,0.0,9794.0,2981.0,1.0
α[64],6.136,0.058,6.03,6.248,0.001,0.0,7885.0,2663.0,1.0
α[65],9.697,0.109,9.494,9.903,0.001,0.001,8382.0,2498.0,1.0
α[66],11.739,0.023,11.696,11.783,0.0,0.0,8094.0,2752.0,1.0
α[67],9.521,0.034,9.459,9.585,0.0,0.0,7983.0,3040.0,1.0
α[68],9.521,0.039,9.447,9.594,0.0,0.0,7451.0,2902.0,1.0
α[69],7.049,0.047,6.961,7.135,0.001,0.0,6850.0,2511.0,1.0
α[70],10.778,0.045,10.692,10.859,0.001,0.0,7161.0,3042.0,1.0
α[71],13.578,0.043,13.499,13.661,0.0,0.0,7924.0,3213.0,1.0
α[72],9.082,0.063,8.964,9.2,0.001,0.0,8864.0,3111.0,1.0
α[73],11.35,0.035,11.286,11.415,0.0,0.0,7258.0,3055.0,1.0
α[74],5.223,0.043,5.143,5.306,0.0,0.0,9108.0,2902.0,1.0
β[0],0.015,0.0,0.015,0.015,0.0,0.0,7269.0,3137.0,1.0
β[1],0.01,0.0,0.009,0.01,0.0,0.0,7869.0,2838.0,1.0
β[2],0.01,0.0,0.009,0.01,0.0,0.0,7893.0,2984.0,1.0
β[3],0.017,0.0,0.017,0.018,0.0,0.0,8253.0,2898.0,1.0
β[4],0.012,0.0,0.011,0.012,0.0,0.0,8754.0,3001.0,1.0
β[5],0.004,0.0,0.004,0.005,0.0,0.0,7023.0,3084.0,1.0
β[6],0.012,0.0,0.012,0.012,0.0,0.0,7603.0,2929.0,1.0
β[7],0.01,0.0,0.01,0.011,0.0,0.0,10325.0,2764.0,1.0
β[8],0.01,0.0,0.01,0.01,0.0,0.0,7839.0,3010.0,1.0
β[9],0.014,0.0,0.014,0.014,0.0,0.0,8048.0,2726.0,1.0
β[10],0.013,0.0,0.013,0.014,0.0,0.0,7838.0,2680.0,1.0
β[11],0.017,0.0,0.016,0.017,0.0,0.0,7712.0,2524.0,1.0
β[12],0.01,0.0,0.009,0.01,0.0,0.0,7911.0,3045.0,1.0
β[13],0.01,0.0,0.009,0.011,0.0,0.0,9284.0,2669.0,1.0
β[14],0.016,0.0,0.015,0.017,0.0,0.0,7916.0,2969.0,1.0
β[15],0.016,0.0,0.016,0.017,0.0,0.0,7250.0,2752.0,1.0
β[16],0.016,0.0,0.016,0.017,0.0,0.0,7967.0,2916.0,1.0
β[17],0.014,0.0,0.013,0.014,0.0,0.0,6966.0,2969.0,1.0
β[18],0.017,0.0,0.017,0.017,0.0,0.0,9194.0,2816.0,1.0
β[19],0.011,0.0,0.011,0.011,0.0,0.0,8083.0,2715.0,1.0
β[20],0.01,0.0,0.01,0.011,0.0,0.0,8917.0,3099.0,1.0
β[21],0.009,0.0,0.009,0.01,0.0,0.0,7192.0,2673.0,1.0
β[22],0.009,0.0,0.009,0.01,0.0,0.0,8831.0,2913.0,1.0
β[23],0.013,0.0,0.013,0.014,0.0,0.0,9240.0,2819.0,1.0
β[24],0.009,0.0,0.009,0.009,0.0,0.0,8672.0,3107.0,1.0
β[25],0.011,0.0,0.011,0.011,0.0,0.0,8020.0,3011.0,1.0
β[26],0.01,0.0,0.01,0.01,0.0,0.0,8420.0,2303.0,1.0
β[27],0.015,0.0,0.015,0.015,0.0,0.0,7787.0,3048.0,1.0
β[28],0.018,0.0,0.018,0.019,0.0,0.0,8300.0,2937.0,1.0
β[29],0.017,0.0,0.016,0.018,0.0,0.0,8277.0,3033.0,1.0
β[30],0.015,0.0,0.014,0.015,0.0,0.0,9441.0,3030.0,1.0
β[31],0.009,0.0,0.009,0.009,0.0,0.0,7737.0,2972.0,1.0
β[32],0.016,0.0,0.015,0.016,0.0,0.0,7506.0,2964.0,1.0
β[33],0.009,0.0,0.008,0.009,0.0,0.0,9359.0,2922.0,1.0
β[34],0.012,0.0,0.012,0.013,0.0,0.0,8912.0,3033.0,1.0
β[35],0.01,0.0,0.009,0.01,0.0,0.0,9364.0,3227.0,1.0
β[36],0.012,0.0,0.012,0.012,0.0,0.0,9087.0,2763.0,1.0
β[37],0.023,0.0,0.022,0.023,0.0,0.0,8831.0,2864.0,1.0
β[38],0.011,0.0,0.01,0.011,0.0,0.0,7744.0,2767.0,1.0
β[39],0.016,0.0,0.015,0.016,0.0,0.0,8923.0,3096.0,1.0
β[40],0.019,0.0,0.019,0.02,0.0,0.0,8507.0,3052.0,1.0
β[41],0.017,0.0,0.017,0.018,0.0,0.0,8737.0,3327.0,1.0
β[42],0.009,0.0,0.009,0.009,0.0,0.0,8145.0,3003.0,1.0
β[43],0.013,0.0,0.013,0.013,0.0,0.0,7787.0,3003.0,1.0
β[44],0.013,0.0,0.013,0.013,0.0,0.0,11079.0,2942.0,1.0
β[45],0.013,0.0,0.012,0.014,0.0,0.0,9702.0,2977.0,1.0
β[46],0.012,0.0,0.012,0.013,0.0,0.0,7153.0,2770.0,1.0
β[47],0.015,0.0,0.014,0.016,0.0,0.0,8205.0,2713.0,1.0
β[48],0.012,0.0,0.012,0.012,0.0,0.0,8115.0,2974.0,1.0
β[49],0.013,0.0,0.013,0.014,0.0,0.0,7516.0,2368.0,1.0
β[50],0.008,0.0,0.008,0.008,0.0,0.0,8141.0,2808.0,1.0
β[51],0.01,0.0,0.009,0.01,0.0,0.0,7271.0,2760.0,1.0
β[52],0.012,0.0,0.011,0.012,0.0,0.0,9097.0,2569.0,1.0
β[53],0.011,0.0,0.01,0.012,0.0,0.0,8599.0,3030.0,1.0
β[54],0.013,0.0,0.012,0.014,0.0,0.0,9383.0,3109.0,1.0
β[55],0.017,0.0,0.016,0.017,0.0,0.0,10461.0,2536.0,1.0
β[56],0.011,0.0,0.011,0.012,0.0,0.0,8641.0,3232.0,1.0
β[57],0.007,0.0,0.007,0.008,0.0,0.0,6655.0,2737.0,1.0
β[58],0.014,0.0,0.013,0.014,0.0,0.0,9078.0,2950.0,1.0
