,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α[0],6.287,0.041,6.212,6.363,0.0,0.0,8413.0,2674.0,1.0
α[1],8.401,0.059,8.283,8.508,0.001,0.0,7941.0,2762.0,1.0
α[2],5.971,0.03,5.916,6.028,0.0,0.0,7526.0,3103.0,1.0
α[3],8.949,0.096,8.769,9.134,0.001,0.001,8293.0,2701.0,1.0
α[4],8.171,0.071,8.036,8.307,0.001,0.001,8588.0,2663.0,1.0
α[5],8.88,0.033,8.814,8.938,0.0,0.0,7694.0,2594.0,1.0
α[6],8.859,0.038,8.787,8.927,0.0,0.0,9264.0,2624.0,1.0
α[7],8.473,0.071,8.343,8.609,0.001,0.001,8101.0,2818.0,1.0
α[8],10.071,0.038,10.001,10.145,0.0,0.0,7508.0,2958.0,1.0
α[9],7.132,0.052,7.032,7.228,0.001,0.0,8664.0,3210.0,1.0
α[10],11.888,0.103,11.709,12.094,0.001,0.001,8349.0,2885.0,1.0
α[11],6.838,0.049,6.748,6.928,0.0,0.0,10217.0,2933.0,1.0
α[12],10.286,0.037,10.22,10.359,0.0,0.0,8648.0,2801.0,1.0
α[13],10.508,0.085,10.349,10.667,0.001,0.001,8454.0,2748.0,1.0
α[14],9.387,0.098,9.19,9.559,0.001,0.001,10867.0,3507.0,1.0
α[15],6.876,0.085,6.723,7.036,0.001,0.001,8711.0,2996.0,1.0
α[16],6.78,0.049,6.688,6.869,0.001,0.0,8608.0,3101.0,1.0
α[17],5.606,0.04,5.532,5.677,0.0,0.0,10263.0,2644.0,1.0
α[18],8.027,0.05,7.933,8.121,0.001,0.0,7593.0,2873.0,1.0
α[19],8.405,0.03,8.345,8.457,0.0,0.0,8015.0,2804.0,1.0
α[20],9.012,0.067,8.886,9.139,0.001,0.001,8726.0,2969.0,1.0
α[21],9.749,0.054,9.648,9.849,0.001,0.0,9072.0,3620.0,1.0
α[22],9.196,0.081,9.041,9.341,0.001,0.001,8272.0,2802.0,1.0
α[23],6.258,0.042,6.179,6.336,0.0,0.0,8532.0,2772.0,1.0
α[24],7.831,0.025,7.787,7.88,0.0,0.0,7751.0,3017.0,1.0
α[25],11.198,0.033,11.139,11.263,0.0,0.0,7762.0,2663.0,1.0
α[26],11.223,0.029,11.166,11.276,0.0,0.0,8197.0,2703.0,1.0
α[27],7.01,0.037,6.936,7.075,0.0,0.0,8296.0,3045.0,1.0
α[28],6.696,0.055,6.588,6.795,0.001,0.0,7824.0,2682.0,1.0
α[29],10.988,0.119,10.754,11.2,0.001,0.001,7029.0,3136.0,1.0
α[30],9.145,0.06,9.034,9.259,0.001,0.0,9411.0,3021.0,1.0
α[31],11.249,0.02,11.209,11.285,0.0,0.0,7525.0,3183.0,1.0
α[32],8.519,0.103,8.332,8.729,0.001,0.001,7522.0,2456.0,1.0
α[33],9.094,0.034,9.032,9.16,0.0,0.0,9285.0,3071.0,1.0
α[34],9.318,0.046,9.234,9.405,0.0,0.0,8480.0,2890.0,1.0
α[35],11.46,0.031,11.403,11.519,0.0,0.0,10396.0,2872.0,1.01
α[36],8.837,0.033,8.774,8.897,0.0,0.0,10338.0,3195.0,1.0
α[37],5.118,0.076,4.98,5.262,0.001,0.001,7861.0,3166.0,1.0
α[38],8.817,0.092,8.649,8.993,0.001,0.001,8061.0,2976.0,1.0
α[39],5.522,0.05,5.428,5.612,0.001,0.0,9139.0,2877.0,1.0
α[40],6.179,0.054,6.074,6.272,0.001,0.0,6857.0,3050.0,1.0
α[41],5.969,0.057,5.861,6.073,0.001,0.0,7065.0,2887.0,1.0
α[42],7.657,0.028,7.603,7.708,0.0,0.0,8495.0,2752.0,1.0
α[43],7.69,0.038,7.618,7.762,0.0,0.0,7842.0,2715.0,1.0
α[44],5.471,0.03,5.416,5.526,0.0,0.0,8375.0,2625.0,1.0
α[45],10.194,0.098,10.023,10.386,0.001,0.001,7924.0,2750.0,1.0
α[46],8.047,0.061,7.93,8.156,0.001,0.0,9034.0,2929.0,1.0
α[47],8.073,0.071,7.939,8.207,0.001,0.001,9008.0,3128.0,1.0
α[48],9.744,0.034,9.681,9.808,0.0,0.0,9021.0,2846.0,1.0
α[49],7.061,0.047,6.973,7.152,0.0,0.0,9681.0,3061.0,1.0
α[50],8.302,0.019,8.266,8.338,0.0,0.0,6940.0,2830.0,1.0
α[51],10.276,0.078,10.129,10.423,0.001,0.001,8326.0,3350.0,1.0
α[52],8.844,0.064,8.725,8.961,0.001,0.001,7205.0,2880.0,1.0
α[53],10.651,0.101,10.472,10.85,0.001,0.001,7865.0,2543.0,1.0
α[54],9.177,0.068,9.046,9.302,0.001,0.001,6613.0,2833.0,1.0
α[55],8.689,0.049,8.595,8.78,0.001,0.0,7915.0,2779.0,1.0
α[56],9.402,0.033,9.339,9.464,0.0,0.0,9352.0,2688.0,1.0
α[57],9.804,0.085,9.649,9.967,0.001,0.001,7519.0,3237.0,1.0
α[58],8.899,0.047,8.812,8.989,0.001,0.0,8464.0,3014.0,1.0
α[59],11.335,0.095,11.147,11.505,0.001,0.001,8395.0,2837.0,1.0
α[60],10.465,0.091,10.306,10.644,0.001,0.001,8889.0,3061.0,1.0
α[61],8.083,0.046,8.002,8.173,0.0,0.0,9881.0,2571.0,1.0
α[62],9.61,0.071,9.474,9.74,0.001,0.001,8843.0,2967.0,1.0
α[63],5.997,0.06,5.885,6.105,0.001,0.0,8119.0,3049.0,1.0
α[64],6.136,0.057,6.028,6.242,0.001,0.0,8041.0,3018.0,1.0
α[65],9.695,0.106,9.501,9.899,0.001,0.001,9546.0,3431.0,1.0
α[66],11.701,0.024,11.653,11.745,0.0,0.0,8744.0,3006.0,1.0
α[67],9.521,0.033,9.46,9.588,0.0,0.0,7928.0,2745.0,1.0
α[68],9.52,0.039,9.447,9.591,0.0,0.0,8733.0,3063.0,1.0
α[69],7.049,0.05,6.952,7.141,0.001,0.0,8459.0,3133.0,1.0
α[70],10.703,0.047,10.614,10.791,0.001,0.0,7334.0,3122.0,1.0
α[71],13.578,0.042,13.501,13.659,0.0,0.0,9565.0,3187.0,1.0
α[72],9.084,0.06,8.972,9.194,0.001,0.0,7720.0,2835.0,1.0
α[73],11.35,0.036,11.283,11.418,0.0,0.0,9665.0,3264.0,1.0
α[74],5.186,0.044,5.105,5.269,0.0,0.0,8631.0,2548.0,1.0
