,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α,12.419,0.114,12.206,12.632,0.003,0.002,1700.0,1716.0,1.0
β,0.014,0.0,0.013,0.014,0.0,0.0,1809.0,2161.0,1.0
σ,1.236,0.041,1.159,1.309,0.001,0.001,2466.0,2308.0,1.0
μ[0],12.433,0.114,12.22,12.645,0.003,0.002,1703.0,1716.0,1.0
μ[1],12.446,0.113,12.234,12.657,0.003,0.002,1707.0,1706.0,1.0
μ[2],12.46,0.113,12.248,12.67,0.003,0.002,1708.0,1699.0,1.0
μ[3],12.473,0.112,12.262,12.683,0.003,0.002,1711.0,1699.0,1.0
μ[4],12.487,0.112,12.277,12.696,0.003,0.002,1714.0,1699.0,1.0
μ[5],12.5,0.112,12.291,12.709,0.003,0.002,1716.0,1699.0,1.0
μ[6],12.514,0.111,12.305,12.722,0.003,0.002,1719.0,1699.0,1.0
μ[7],12.527,0.111,12.319,12.735,0.003,0.002,1721.0,1785.0,1.0
μ[8],12.541,0.111,12.334,12.749,0.003,0.002,1723.0,1785.0,1.0
μ[9],12.555,0.11,12.347,12.76,0.003,0.002,1726.0,1785.0,1.0
μ[10],12.568,0.11,12.36,12.772,0.003,0.002,1729.0,1794.0,1.0
μ[11],12.582,0.109,12.375,12.785,0.003,0.002,1730.0,1794.0,1.0
μ[12],12.595,0.109,12.389,12.798,0.003,0.002,1732.0,1794.0,1.0
μ[13],12.609,0.109,12.403,12.811,0.003,0.002,1732.0,1794.0,1.0
μ[14],12.622,0.108,12.417,12.823,0.003,0.002,1734.0,1794.0,1.0
μ[15],12.636,0.108,12.431,12.836,0.003,0.002,1735.0,1794.0,1.0
μ[16],12.649,0.108,12.441,12.844,0.003,0.002,1737.0,1794.0,1.0
μ[17],12.663,0.107,12.461,12.864,0.003,0.002,1739.0,1794.0,1.0
μ[18],12.676,0.107,12.475,12.876,0.003,0.002,1741.0,1794.0,1.0
μ[19],12.69,0.106,12.489,12.889,0.003,0.002,1743.0,1794.0,1.0
μ[20],12.703,0.106,12.503,12.901,0.003,0.002,1744.0,1794.0,1.0
μ[21],12.717,0.106,12.517,12.914,0.003,0.002,1746.0,1794.0,1.0
μ[22],12.731,0.105,12.531,12.927,0.003,0.002,1748.0,1786.0,1.0
μ[23],12.744,0.105,12.547,12.942,0.003,0.002,1750.0,1786.0,1.0
μ[24],12.758,0.105,12.561,12.954,0.003,0.002,1751.0,1796.0,1.0
μ[25],12.771,0.104,12.575,12.967,0.002,0.002,1753.0,1796.0,1.0
μ[26],12.785,0.104,12.589,12.98,0.002,0.002,1756.0,1793.0,1.0
μ[27],12.798,0.104,12.602,12.991,0.002,0.002,1758.0,1793.0,1.0
μ[28],12.812,0.103,12.616,13.004,0.002,0.002,1760.0,1786.0,1.0
μ[29],12.825,0.103,12.631,13.017,0.002,0.002,1763.0,1786.0,1.0
μ[30],12.839,0.102,12.645,13.03,0.002,0.002,1764.0,1801.0,1.0
μ[31],12.852,0.102,12.659,13.043,0.002,0.002,1766.0,1801.0,1.0
μ[32],12.866,0.102,12.673,13.056,0.002,0.002,1769.0,1818.0,1.0
μ[33],12.879,0.101,12.688,13.069,0.002,0.002,1770.0,1801.0,1.0
μ[34],12.893,0.101,12.704,13.084,0.002,0.002,1772.0,1801.0,1.0
μ[35],12.907,0.101,12.718,13.097,0.002,0.002,1774.0,1801.0,1.0
μ[36],12.92,0.1,12.729,13.107,0.002,0.002,1777.0,1801.0,1.0
μ[37],12.934,0.1,12.738,13.115,0.002,0.002,1778.0,1809.0,1.0
μ[38],12.947,0.1,12.753,13.128,0.002,0.002,1780.0,1800.0,1.0
μ[39],12.961,0.099,12.768,13.141,0.002,0.002,1784.0,1844.0,1.0
μ[40],12.974,0.099,12.782,13.154,0.002,0.002,1786.0,1844.0,1.0
μ[41],12.988,0.099,12.796,13.167,0.002,0.002,1789.0,1801.0,1.0
μ[42],13.001,0.098,12.81,13.18,0.002,0.002,1792.0,1801.0,1.0
μ[43],13.015,0.098,12.824,13.192,0.002,0.002,1794.0,1801.0,1.0
μ[44],13.028,0.098,12.839,13.205,0.002,0.002,1797.0,1801.0,1.0
μ[45],13.042,0.097,12.853,13.218,0.002,0.002,1800.0,1801.0,1.0
μ[46],13.055,0.097,12.867,13.231,0.002,0.002,1803.0,1810.0,1.0
μ[47],13.069,0.096,12.881,13.243,0.002,0.002,1806.0,1768.0,1.0
μ[48],13.082,0.096,12.895,13.256,0.002,0.002,1806.0,1768.0,1.0
μ[49],13.096,0.096,12.91,13.269,0.002,0.002,1809.0,1768.0,1.0
μ[50],13.11,0.095,12.938,13.296,0.002,0.002,1811.0,1777.0,1.0
