,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α,12.425,0.114,12.213,12.634,0.003,0.002,1890.0,1905.0,1.0
β,0.014,0.0,0.013,0.014,0.0,0.0,1914.0,1889.0,1.0
σ,1.235,0.041,1.16,1.314,0.001,0.001,2514.0,2659.0,1.0
μ[0],12.439,0.114,12.228,12.647,0.003,0.002,1891.0,1923.0,1.0
μ[1],12.452,0.114,12.242,12.66,0.003,0.002,1892.0,1923.0,1.0
μ[2],12.466,0.113,12.256,12.673,0.003,0.002,1892.0,1836.0,1.0
μ[3],12.479,0.113,12.27,12.686,0.003,0.002,1894.0,1836.0,1.0
μ[4],12.493,0.113,12.285,12.699,0.003,0.002,1895.0,1836.0,1.0
μ[5],12.506,0.112,12.299,12.712,0.003,0.002,1897.0,1836.0,1.0
μ[6],12.52,0.112,12.312,12.724,0.003,0.002,1898.0,1836.0,1.0
μ[7],12.533,0.111,12.326,12.736,0.003,0.002,1898.0,1872.0,1.0
μ[8],12.547,0.111,12.341,12.749,0.003,0.002,1900.0,1872.0,1.0
μ[9],12.56,0.111,12.355,12.762,0.003,0.002,1902.0,1872.0,1.0
μ[10],12.574,0.11,12.369,12.775,0.003,0.002,1903.0,1954.0,1.0
μ[11],12.587,0.11,12.383,12.787,0.003,0.002,1905.0,1954.0,1.0
μ[12],12.601,0.11,12.397,12.8,0.003,0.002,1907.0,1954.0,1.0
μ[13],12.614,0.109,12.411,12.813,0.002,0.002,1908.0,1959.0,1.0
μ[14],12.628,0.109,12.427,12.828,0.002,0.002,1909.0,1959.0,1.0
μ[15],12.641,0.108,12.444,12.842,0.002,0.002,1910.0,1940.0,1.0
μ[16],12.655,0.108,12.458,12.855,0.002,0.002,1911.0,1940.0,1.0
μ[17],12.668,0.108,12.473,12.868,0.002,0.002,1913.0,1989.0,1.0
μ[18],12.682,0.107,12.487,12.881,0.002,0.002,1914.0,1989.0,1.0
μ[19],12.696,0.107,12.501,12.893,0.002,0.002,1916.0,1990.0,1.0
μ[20],12.709,0.107,12.516,12.906,0.002,0.002,1919.0,1990.0,1.0
μ[21],12.723,0.106,12.53,12.919,0.002,0.002,1921.0,2043.0,1.0
μ[22],12.736,0.106,12.545,12.932,0.002,0.002,1922.0,2043.0,1.0
μ[23],12.75,0.106,12.559,12.945,0.002,0.002,1925.0,2021.0,1.0
μ[24],12.763,0.105,12.571,12.956,0.002,0.002,1926.0,2021.0,1.0
